Key,Date,Day,AvailableTime,AirScore,WeatherScore,Dorm,Distance(m)
H3,2019-05-07,Tuesday,5433.6,1,5,0,774.9080656
H3,2019-05-08,Wednesday,10174,1,3,0,NA
H3,2019-05-09,Thursday,5779.75,1,2,0,504.6236985
H4,2019-04-15,Monday,4575,1,5,1,774.9080656
H4,2019-04-16,Tuesday,2366.5,1,2,1,774.9080656
H4,2019-04-17,Wednesday,177.5714286,1,4,1,180.4581399
H4,2019-04-18,Thursday,268,1,1,1,NA
H4,2019-04-19,Friday,2982.333333,1,2,1,774.9080656
H4,2019-04-22,Monday,4575,1,2,1,NA
H4,2019-04-23,Tuesday,2366.5,2,1,1,774.9080656
H4,2019-04-24,Wednesday,177.5714286,1,1,1,NA
H4,2019-04-25,Thursday,268,1,1,1,774.9080656
H4,2019-04-26,Friday,2982.333333,1,1,1,774.9080656
H4,2019-04-29,Monday,4575,1,1,1,NA
H4,2019-04-30,Tuesday,2366.5,1,2,1,420.9233811
H4,2019-05-01,Wednesday,177.5714286,1,2,1,180.4581399
H4,2019-05-02,Thursday,268,3,2,1,NA
H4,2019-05-03,Friday,2982.333333,1,2,1,478.2294629
H4,2019-05-08,Wednesday,177.5714286,1,3,1,234.7218678
H4,2019-05-09,Thursday,268,1,2,1,NA
H4,2019-05-10,Friday,2982.333333,1,2,1,180.4581399
H5,2019-04-15,Monday,3837,1,5,1,NA
H5,2019-04-16,Tuesday,3815.4,1,2,1,402.9031196
H5,2019-04-17,Wednesday,4861.75,1,4,1,774.9080656
H5,2019-04-22,Monday,3837,1,2,1,774.9080656
H5,2019-04-24,Wednesday,4861.75,1,1,1,774.9080656
H5,2019-04-25,Thursday,3863.833333,1,1,1,774.9080656
H5,2019-04-30,Tuesday,3815.4,1,2,1,304.8671922
H5,2019-05-01,Wednesday,4861.75,1,2,1,774.9080656
H5,2019-05-02,Thursday,3863.833333,3,2,1,330.5009508
H5,2019-05-08,Wednesday,4861.75,1,3,1,774.9080656
H5,2019-05-09,Thursday,3863.833333,1,2,1,308.6056582
H5,2019-05-13,Monday,3837,NA,1,1,774.9080656
